fecha,inflacion_mensual,inflacion_anual,fuente_mensual,fuente_anual,fuente_oficial_ultimo_mes,fuente_historia_mensual,fecha_publicacion_vintage
2009-12-01,0.08,2.01,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-01-01,0.69,2.11,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-02-01,0.83,2.09,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-03-01,0.25,1.84,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-04-01,0.46,1.98,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-05-01,0.1,2.07,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-06-01,0.11,2.24,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-07-01,-0.04,2.24,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-08-01,0.11,2.31,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-09-01,-0.14,2.27,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-10-01,-0.09,2.32,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-11-01,0.19,2.59,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2010-12-01,0.65,3.16,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-01-01,0.91,3.39,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-02-01,0.6,3.17,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-03-01,0.27,3.19,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-04-01,0.12,2.84,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-05-01,0.28,3.02,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-06-01,0.32,3.24,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-07-01,0.14,3.43,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-08-01,-0.03,3.27,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-09-01,0.31,3.73,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-10-01,0.19,4.02,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-11-01,0.14,3.96,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2011-12-01,0.42,3.73,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-01-01,0.73,3.55,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-02-01,0.61,3.55,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-03-01,0.12,3.4,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-04-01,0.14,3.42,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-05-01,0.3,3.45,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-06-01,0.08,3.2,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-07-01,-0.02,3.02,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-08-01,0.04,3.1,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-09-01,0.29,3.09,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-10-01,0.16,3.05,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-11-01,-0.14,2.78,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2012-12-01,0.09,2.44,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-01-01,0.3,1.99,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-02-01,0.44,1.83,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-03-01,0.21,1.91,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-04-01,0.25,2.03,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-05-01,0.28,2.0,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-06-01,0.23,2.15,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-07-01,0.04,2.23,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-08-01,0.08,2.28,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2013-09-01,0.29,2.27,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
