fecha,canasta_tickers,pares_precio_validos,retornos_atipicos,cobertura_canasta,retorno_equiponderado_pct,lideres_tickers,lideres_pares_validos,lideres_atipicos,cobertura_lideres,retorno_lideres_pct,estado,metodologia
2024-11-01,22,21,0,0.9545,2.465254,5,5,0,1.0,2.275958,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-12-01,22,21,0,0.9545,0.505647,5,5,0,1.0,-0.657454,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-01-01,22,21,0,0.9545,6.767211,5,5,0,1.0,8.955727,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-02-01,22,21,0,0.9545,5.382532,5,5,0,1.0,6.964224,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-03-01,22,21,0,0.9545,0.646554,5,5,0,1.0,-0.272967,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-04-01,22,21,0,0.9545,1.871393,5,5,0,1.0,1.296005,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-05-01,22,21,0,0.9545,2.354624,5,5,0,1.0,-1.37561,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-06-01,22,21,0,0.9545,2.303346,5,5,0,1.0,3.081915,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-07-01,22,21,0,0.9545,-1.049822,5,5,0,1.0,-4.710555,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-08-01,22,20,0,0.9091,4.806455,5,5,0,1.0,5.709423,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-09-01,22,20,0,0.9091,1.872445,5,5,0,1.0,-0.586034,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2025-10-01,22,21,0,0.9545,9.689435,5,5,0,1.0,6.129667,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
